user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
Do only changes in coding regions of MEF2C cause developmental disorders?,"['[QUESTION] Do only changes in coding regions of MEF2C cause developmental disorders?\\n\\n[ANSWER] No. Non-coding region variants upstream of MEF2C cause severe developmental disorder through three distinct loss-of-function mechanisms.', '[QUESTION] What is the difference in the roles of Tcf1 and Tcf3 during development?', '[QUESTION] Do mutations in KCNT2 only cause phenotypes with epilepsy?\\n\\n[ANSWER] No. There is a report of pathogenic variants in KCNT2 causing a developmental phenotype without epilepsy.', '[QUESTION] Which disease is caused by mutations in the gene PRF1?\\n\\n[ANSWER] The presence of mutations in PRF1, UNC13D, STX11 and STXBP2 genes in homozygosis or compound heterozygosis results in immune deregulation. Most such cases lead to clinical manifestations of haemophagocytic lymphohistiocytosis (HLH).']",No. Non-coding region variants upstream of MEF2C cause severe developmental disorder through three distinct loss-of-function mechanisms.,No. Non-coding region variants upstream of MEF2C cause severe developmental disorder through three distinct loss-of-function mechanisms.,0.9999999999,1.0,1.0,1.0000,1.0
Which factor is inhibited by Milvexian?,"['[QUESTION] Which factor is inhibited by Milvexian?\\n\\n[ANSWER] Milvexian is a small molecule, active-site inhibitor of factor XIa (FXIa) being developed to prevent and treat thrombotic events.', '[QUESTION] Which signaling pathway does LY294002 inhibit?\\n\\n[ANSWER] LY294002, can block the PI3K/AKT signaling pathway.', 'particularly with γCD. Similar attenuation effects by γCD were observed in the cases of BG and DHBG. Furthermore, BG and DHBG were suggested to be strongly encapsulated in the cavity of γCD.The encapsulation of BG and DHBG by γCD and the resulting attenuation of the inhibition of CYP3A activity by grapefruit juice may be applicable to juice processing for preventing drug-grapefruit juice interactions.', '[QUESTION] Do only changes in coding regions of MEF2C cause developmental disorders?\\n\\n[ANSWER] No. Non-coding region variants upstream of MEF2C cause severe developmental disorder through three distinct loss-of-function mechanisms.']",Milvexian é um inibidor de sítio ativo do fator XIa (FXIa).,"Milvexian is a small molecule, active-site inhibitor of factor XIa (FXIa) being developed to prevent and treat thrombotic events.",0.9553467893,0.92,0.85,1.0000,0.97
What is Granzyme B?,"['[QUESTION] What is Granzyme B?\\n\\n[ANSWER] Granzyme B is a serine protease that is secreted by Natural Killer (NK) cells and cytotoxic T lymphocytes during a cellular immune response and can induce apoptosis.', '[QUESTION] What is known about the protein patatin?', '[QUESTION] Which factor is inhibited by Milvexian?\\n\\n[ANSWER] Milvexian is a small molecule, active-site inhibitor of factor XIa (FXIa) being developed to prevent and treat thrombotic events.', '[QUESTION] How does condensin affect the function of topoisomeraseII?']",Granzyme B is a serine protease that is secreted by Natural Killer (NK) cells and cytotoxic T lymphocytes during a cellular immune response and can induce apoptosis.,Granzyme B is a serine protease that is secreted by Natural Killer (NK) cells and cytotoxic T lymphocytes during a cellular immune response and can induce apoptosis.,1.0000000000,0.99,0.98,1.0000,1.0
"Is CircRNA produced by back splicing of exon, intron or both, forming exon or intron circRNA?","['[QUESTION] Is CircRNA produced by back splicing of exon, intron or both, forming exon or intron circRNA?\\n\\n[ANSWER] Human transcriptome contains a large number of circular RNAs (circRNAs) that are mainly produced by back splicing of pre-mRNA.', '[QUESTION] What is the difference in the roles of Tcf1 and Tcf3 during development?', '[QUESTION] Do only changes in coding regions of MEF2C cause developmental disorders?\\n\\n[ANSWER] No. Non-coding region variants upstream of MEF2C cause severe developmental disorder through three distinct loss-of-function mechanisms.', '[QUESTION] What protein is encoded by the GRN gene?\\n\\n[ANSWER] Loss-of-function mutations in the gene encoding for the protein progranulin (PGRN), GRN, are one of the major genetic abnormalities involved in frontotemporal lobar degeneration.']",Não sei.,Human transcriptome contains a large number of circular RNAs (circRNAs) that are mainly produced by back splicing of pre-mRNA.,0.0000000000,0.000000000000000,0.93,1.0000,0.18396983023944619
How does condensin affect the function of topoisomeraseII?,"['[QUESTION] How does condensin affect the function of topoisomeraseII?', 'by promoting sister chromatid decatenation. | aids sister chromatid decatenation | Condensin interferes with the function of Topo II. It prevents catenanes from persisting between sister chromatids during mitosis. | Condensin aids sister chromatid decatenation by topoisomerase II and minimizes topoisomerase II-mediated entanglements of DNA in vivo', '[ANSWER] Condensin prevents deleterious anaphase bridges during chromosome segregation by promoting sister chromatid decatenation which are created by topoisomerase II. Condensin-dependent localisation of topoisomerase II to an axial chromosomal structure is required for sister chromatid resolution during mitosis. | aids sister chromatid decatenation by topoisomerase II | Condensin prevents deleterious anaphase bridges during chromosome segregation by promoting sister chromatid decatenation. |', '[QUESTION] What is the mode of action of primaquine?\\n\\n[ANSWER] Primaquine (PQ) not only eliminates P. falciparum gametocytes but also kills liver dormant forms of P. vivax and P. ovale.']","A condensina auxilia a decatenação das cromátides irmãs pela topoisomerase II. A condensina previne pontes anafásicas deletérias durante a segregação cromossômica, promovendo a decatenação das cromátides irmãs, que são criadas pela topoisomerase II. A localização da topoisomerase II dependente de condensina em uma estrutura cromossômica axial é necessária para a resolução das cromátides irmãs durante a mitose.",Condensin prevents deleterious anaphase bridges during chromosome segregation by promoting sister chromatid decatenation which are created by topoisomerase II. Condensin-dependent localisation of topoisomerase II to an axial chromosomal structure is required for sister chromatid resolution during mitosis. | aids sister chromatid decatenation by topoisomerase II | Condensin prevents deleterious anaphase bridges during chromosome segregation by promoting sister chromatid decatenation. | aids sister chromatid decatenation | Condensin interferes with the function of Topo II. It prevents catenanes from persisting between sister chromatids during mitosis. | Condensin aids sister chromatid decatenation by topoisomerase II and minimizes topoisomerase II-mediated entanglements of DNA in vivo,1.0,0.780891796119934,0.95,1.0000,0.95
Which signaling pathway does LY294002 inhibit?,"['[QUESTION] Which signaling pathway does LY294002 inhibit?\\n\\n[ANSWER] LY294002, can block the PI3K/AKT signaling pathway.', '[QUESTION] Which factor is inhibited by Milvexian?\\n\\n[ANSWER] Milvexian is a small molecule, active-site inhibitor of factor XIa (FXIa) being developed to prevent and treat thrombotic events.', '[ANSWER] Τhere are opposing effects of Tcf3 and Tcf1 in the control of Wnt stimulation of embryonic stem cell self-renewal. In contrast to β-catenin-dependent functions described for Tcf1 the known embryonic functions for Tcf3 are consistent with β-catenin-independent repressor activity. Wnt signal stimulation reduces the level of Tcf3, and increases those of Tcf1 (also known as Tcf7) and Lef1, positive mediators of Wnt signaling. | Tcf3 antagonizes Wnt signaling, while Tcf1 enhances', 'by promoting sister chromatid decatenation. | aids sister chromatid decatenation | Condensin interferes with the function of Topo II. It prevents catenanes from persisting between sister chromatids during mitosis. | Condensin aids sister chromatid decatenation by topoisomerase II and minimizes topoisomerase II-mediated entanglements of DNA in vivo']",LY294002 inibe a via de sinalização PI3K/AKT.,"LY294002, can block the PI3K/AKT signaling pathway.",1.0,0.8297344046916019,0.9999999999,1.0000,0.98
Is METTL1 overexpression associated with better patient survival?,"['[QUESTION] Is METTL1 overexpression associated with better patient survival?\\n\\n[ANSWER] No. METTL1 is frequently amplified and overexpressed in cancers and is associated with poor patient survival.', '[QUESTION] What is the difference in the roles of Tcf1 and Tcf3 during development?', '[QUESTION] What is disrupted by ALS- and FTD-associated missense mutations in TBK1?\\n\\n[ANSWER] ALS- and FTD-associated missense mutations in TBK1 differentially disrupt mitophagy.', '[ANSWER] Τhere are opposing effects of Tcf3 and Tcf1 in the control of Wnt stimulation of embryonic stem cell self-renewal. In contrast to β-catenin-dependent functions described for Tcf1 the known embryonic functions for Tcf3 are consistent with β-catenin-independent repressor activity. Wnt signal stimulation reduces the level of Tcf3, and increases those of Tcf1 (also known as Tcf7) and Lef1, positive mediators of Wnt signaling. | Tcf3 antagonizes Wnt signaling, while Tcf1 enhances']",Não. A METTL1 é frequentemente amplificada e superexpressa em cânceres e está associada a uma baixa sobrevida do paciente.,No. METTL1 is frequently amplified and overexpressed in cancers and is associated with poor patient survival.,1.0,0.8859012032065268,0.3,1.0000,0.9
List monoclonal antibodies included in the REGEN-COV.?,"['[QUESTION] List monoclonal antibodies included in the REGEN-COV.\\n\\n[ANSWER] REGEN-COV is a combination of the monoclonal antibodies casirivimab and imdevimab. It has been shown to markedly reduce the risk of hospitalization or death among high-risk persons with coronavirus disease 2019.', '[QUESTION] Where does REGN5458 bind to?\\n\\n[ANSWER] The bispecific antibody REGN5458 binds to B-cell maturation antigen (BCMA) and CD3.', '[QUESTION] Which disease is caused by mutations in the gene PRF1?\\n\\n[ANSWER] The presence of mutations in PRF1, UNC13D, STX11 and STXBP2 genes in homozygosis or compound heterozygosis results in immune deregulation. Most such cases lead to clinical manifestations of haemophagocytic lymphohistiocytosis (HLH).', '[QUESTION] What is Granzyme B?\\n\\n[ANSWER] Granzyme B is a serine protease that is secreted by Natural Killer (NK) cells and cytotoxic T lymphocytes during a cellular immune response and can induce apoptosis.']",REGEN-COV é uma combinação dos anticorpos monoclonais casirivimab e imdevimab.,REGEN-COV is a combination of the monoclonal antibodies casirivimab and imdevimab. It has been shown to markedly reduce the risk of hospitalization or death among high-risk persons with coronavirus disease 2019.,1.0000,0.8354357936602743,1.0000,1.0000,0.91
Which disease is caused by mutations in the gene PRF1?,"['[QUESTION] Which disease is caused by mutations in the gene PRF1?\\n\\n[ANSWER] The presence of mutations in PRF1, UNC13D, STX11 and STXBP2 genes in homozygosis or compound heterozygosis results in immune deregulation. Most such cases lead to clinical manifestations of haemophagocytic lymphohistiocytosis (HLH).', '[QUESTION] What protein is encoded by the GRN gene?\\n\\n[ANSWER] Loss-of-function mutations in the gene encoding for the protein progranulin (PGRN), GRN, are one of the major genetic abnormalities involved in frontotemporal lobar degeneration.', '[QUESTION] Do only changes in coding regions of MEF2C cause developmental disorders?\\n\\n[ANSWER] No. Non-coding region variants upstream of MEF2C cause severe developmental disorder through three distinct loss-of-function mechanisms.', '[QUESTION] What is disrupted by ALS- and FTD-associated missense mutations in TBK1?\\n\\n[ANSWER] ALS- and FTD-associated missense mutations in TBK1 differentially disrupt mitophagy.']","A presença de mutações no gene PRF1, em homozigose ou heterozigose composta, resulta em desregulação imune. A maioria desses casos leva a manifestações clínicas de linfo-histiocitose hemofagocítica (HLH).","The presence of mutations in PRF1, UNC13D, STX11 and STXBP2 genes in homozygosis or compound heterozygosis results in immune deregulation. Most such cases lead to clinical manifestations of haemophagocytic lymphohistiocytosis (HLH).",0.98,0.8958674275002828,0.55,1.0000,0.92
What protein is encoded by the GRN gene?,"['[QUESTION] What protein is encoded by the GRN gene?\\n\\n[ANSWER] Loss-of-function mutations in the gene encoding for the protein progranulin (PGRN), GRN, are one of the major genetic abnormalities involved in frontotemporal lobar degeneration.', 'by promoting sister chromatid decatenation. | aids sister chromatid decatenation | Condensin interferes with the function of Topo II. It prevents catenanes from persisting between sister chromatids during mitosis. | Condensin aids sister chromatid decatenation by topoisomerase II and minimizes topoisomerase II-mediated entanglements of DNA in vivo', '[ANSWER] 3DIV is a 3D-genome Interaction Viewer and database. The 3D Genome Browser is a web-based browser for visualizing 3D genome organization and long-range chromatin interactions. GMOL is an Interactive Tool for 3D Genome Structure Visualization. 3Disease Browser is a Web server for integrating 3D genome and disease-associated chromosome rearrangement data. The 3DGD is a database of genome 3D structure, that currently holds Hi-C data on four species, for easy accessing and visualization of', '[ANSWER] Condensin prevents deleterious anaphase bridges during chromosome segregation by promoting sister chromatid decatenation which are created by topoisomerase II. Condensin-dependent localisation of topoisomerase II to an axial chromosomal structure is required for sister chromatid resolution during mitosis. | aids sister chromatid decatenation by topoisomerase II | Condensin prevents deleterious anaphase bridges during chromosome segregation by promoting sister chromatid decatenation. |']",A proteína codificada pelo gene GRN é a progranulina (PGRN).,"Loss-of-function mutations in the gene encoding for the protein progranulin (PGRN), GRN, are one of the major genetic abnormalities involved in frontotemporal lobar degeneration.",0.97,0.9097842666546440,0.2,1.0000,0.95
